1.00    0.00    0.00
0.00    0.75    1.00
0.00    0.70    0.90
0.00    0.70    0.90
0.00    0.30    1.00
0.00    0.70    1.00
0.00    0.90    1.00
0.00    0.70    0.90
0.00    0.30    0.70
0.00    0.00    1.00
0.00    0.00    1.00
0.00    0.00    1.00
0.00    0.00    1.00
0.00    0.00    0.90
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
1.00    0.00    0.00
0.00    0.90    0.50
0.00    0.80    0.30
0.00    0.90    0.30
0.00    0.90    0.30
0.00    0.70    0.30
0.00    0.80    0.30
0.00    0.30    0.30
0.00    0.30    0.30
0.00    0.60    0.30
0.00    0.95    0.30
0.00    0.30    0.60
0.00    0.30    0.40
0.00    0.30    0.60
0.00    0.30    0.50
0.00    0.30    0.50
0.00    0.70    0.80
0.00    0.70    0.80
0.00    0.70    1.00
0.00    0.70    1.00
0.00    0.70    1.00
0.00    0.70    1.00
0.00    0.70    0.90
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.60
0.00    0.70    0.40
0.00    0.70    0.40
0.00    0.70    1.00
0.00    0.20    0.70
0.00    0.30    0.60
0.00    0.10    0.80
0.00    0.10    0.50
0.00    0.00    0.70
0.00    0.90    0.90
0.00    0.90    0.80
0.00    1.00    0.90
0.00    1.00    0.70
0.00    0.90    0.90
0.00    1.00    1.00
0.00    0.10    0.80
0.00    0.00    0.80
0.00    0.30    0.80
0.00    0.00    0.50
0.00    0.00    0.90
0.00    1.00    0.90
0.00    0.20    0.90
0.00    0.30    0.70
0.00    0.80    1.00
0.00    0.80    0.30
0.00    0.80    0.50
0.00    0.70    0.50
